,key_0,vacancy_id,salary_from,salary_to,employer_id,name_hh,experience_id,specialization_id,professionalrole_id,geometry,avg_salary,flag,inn,okved,okveds,if_target_okveds
0,29,29028116,40265,63350,3127,мегафон,noExperience,"[1.172, 1.211, 1.295, 1.82, 25.381, 25.386]",121,POINT (347354.22918669216 6647688.249740892),51808,True,7812014560,61.10,"['46.51.2', '46.90', '61.20', '62.01', '62.02', '62.03', '62.09', '63.11', '63.11.1', '63.99.1', '69.10', '69.20', '70.22', '71.12.5', '71.12.51', '71.12.53', '71.12.54', '71.12.55', '72.19', '74.90.5', '61.10']",True
1,71,31460069,90000,134270,2061860,panoramik,between1And3,"[1.475, 3.26, 1.221, 1.25]",96,POINT (346680.5872640893 6648579.436956357),112135,True,9719002099,25.11,"['25.61', '25.62', '25.99', '41.20', '43.39', '43.99.5', '46.73.6', '46.90', '47.52.7', '47.52.73', '47.99', '49.41', '49.42', '71.11.1', '72.19', '77.32', '25.11']",True
2,174,33608231,90000,115000,1795976,университет итмо,between1And3,"[1.221, 14.91]",10,POINT (348986.42976443644 6648116.217735379),102500,True,7813045547,85.22,"['41.20', '58.13', '58.14', '61.10.4', '61.10.9', '62.09', '71.1', '71.12.5', '71.12.6', '72.19', '72.20', '82.30', '85.21', '85.23', '85.41.9', '91.02', '85.22']",True
3,177,33636277,100000,155000,2061860,panoramik,between1And3,"[1.475, 1.221]",96,POINT (346680.5872640893 6648579.436956357),127500,True,9719002099,25.11,"['25.61', '25.62', '25.99', '41.20', '43.39', '43.99.5', '46.73.6', '46.90', '47.52.7', '47.52.73', '47.99', '49.41', '49.42', '71.11.1', '72.19', '77.32', '25.11']",True
4,274,34076378,65250,120000,1795976,университет итмо,between1And3,"[1.27, 1.221, 14.91]",96,POINT (348907.51617066195 6648299.835956305),92625,True,7813045547,85.22,"['41.20', '58.13', '58.14', '61.10.4', '61.10.9', '62.09', '71.1', '71.12.5', '71.12.6', '72.19', '72.20', '82.30', '85.21', '85.23', '85.41.9', '91.02', '85.22']",True
5,275,34076417,65250,115000,1795976,университет итмо,between1And3,"[1.221, 14.91]",10,POINT (348986.42976443644 6648116.217735379),90125,True,7813045547,85.22,"['41.20', '58.13', '58.14', '61.10.4', '61.10.9', '62.09', '71.1', '71.12.5', '71.12.6', '72.19', '72.20', '82.30', '85.21', '85.23', '85.41.9', '91.02', '85.22']",True
6,429,34729472,35000,50783,1838,ventra,noExperience,"[18.174, 29.581, 29.556, 18.245, 20.49, 29.517]",85,POINT (347150.3475088052 6649356.263925704),42892,True,7709307193,70.22,"['18.12', '41.20', '43.21', '43.22', '43.29', '43.31', '43.32', '43.32.1', '43.32.2', '43.32.3', '43.33', '43.34', '43.34.1', '43.34.2', '43.39', '43.91', '43.99', '43.99.1', '43.99.2', '43.99.3', '43.99.4', '43.99.5', '43.99.6', '43.99.7', '43.99.9', '46.51.2', '47.41.2', '53.20.3', '62.01', '62.09', '63.11', '63.11.1', '64.19', '64.99', '69.10', '69.20', '71.20', '72.20', '73.11', '73.20.1', '74.30', '77.40', '78.10', '82.19', '82.92', '82.99', '85.42.9', '95.11', '70.22']",True
7,599,35441271,100000,150000,824009,220 вольт,between1And3,"[1.221, 1.1, 1.9]",96,POINT (347311.76796744857 6647646.29823463),125000,True,0264054954,46.69.5,"['22.2', '25.1', '25.29', '25.50', '25.61', '25.62', '25.93.1', '25.94', '25.99.29', '27.12', '27.32', '27.40', '33.14', '33.20', '43.21', '46.15.3', '46.18', '46.43', '46.69.9', '46.9', '47.25.2', '47.42', '47.59.9', '61.1', '95.22.1', '46.69.5']",True
8,654,35607956,35000,50783,1838,ventra,noExperience,"[18.174, 29.581, 29.556, 18.245, 20.49, 29.517]",85,POINT (347150.3475088052 6649356.263925704),42892,True,7709307193,70.22,"['18.12', '41.20', '43.21', '43.22', '43.29', '43.31', '43.32', '43.32.1', '43.32.2', '43.32.3', '43.33', '43.34', '43.34.1', '43.34.2', '43.39', '43.91', '43.99', '43.99.1', '43.99.2', '43.99.3', '43.99.4', '43.99.5', '43.99.6', '43.99.7', '43.99.9', '46.51.2', '47.41.2', '53.20.3', '62.01', '62.09', '63.11', '63.11.1', '64.19', '64.99', '69.10', '69.20', '71.20', '72.20', '73.11', '73.20.1', '74.30', '77.40', '78.10', '82.19', '82.92', '82.99', '85.42.9', '95.11', '70.22']",True
9,735,35784601,65250,87000,1795976,университет итмо,between1And3,[1.221],96,POINT (348986.42976443644 6648116.217735379),76125,True,7813045547,85.22,"['41.20', '58.13', '58.14', '61.10.4', '61.10.9', '62.09', '71.1', '71.12.5', '71.12.6', '72.19', '72.20', '82.30', '85.21', '85.23', '85.41.9', '91.02', '85.22']",True
11,902,35978761,35000,50783,1838,ventra,noExperience,"[18.174, 29.581, 29.556, 18.245, 20.49, 29.517]",49,POINT (347150.3475088052 6649356.263925704),42892,True,7709307193,70.22,"['18.12', '41.20', '43.21', '43.22', '43.29', '43.31', '43.32', '43.32.1', '43.32.2', '43.32.3', '43.33', '43.34', '43.34.1', '43.34.2', '43.39', '43.91', '43.99', '43.99.1', '43.99.2', '43.99.3', '43.99.4', '43.99.5', '43.99.6', '43.99.7', '43.99.9', '46.51.2', '47.41.2', '53.20.3', '62.01', '62.09', '63.11', '63.11.1', '64.19', '64.99', '69.10', '69.20', '71.20', '72.20', '73.11', '73.20.1', '74.30', '77.40', '78.10', '82.19', '82.92', '82.99', '85.42.9', '95.11', '70.22']",True
12,933,36007262,27000,37250,3440785,нордфил,noExperience,"[15.237, 15.389, 29.541, 29.512, 29.556, 29.588]",131,POINT (346813.78476300347 6647902.60381215),32125,True,7801319507,28.29.13,"['17.21', '17.22', '17.29', '22.21', '22.29', '25.61', '25.62', '25.99', '28.25.14', '28.29', '33.12', '33.20', '35.12', '35.14', '35.30', '36.00', '37.00', '45.20', '45.31', '45.32', '46.69', '46.90', '52.10', '68.20', '68.32', '77.33', '77.39', '81.10', '81.21', '28.29.13']",False
13,959,36023479,80000,160000,936465,агент умный полис,between1And3,"[1.395, 1.9, 1.172, 1.221]",96,POINT (347427.9447704025 6648913.752493586),120000,True,7801624934,72.19,"['62.01', '62.02', '62.09', '63.11', '63.11.1', '70.22', '73.11', '73.12', '73.20', '95.11', '72.19']",True
15,1172,36174619,104400,156600,4504791,инноскрипта интернешнл,between3And6,[1.221],96,POINT (346028.37459815585 6649880.066937548),130500,True,7841087700,62.01,"['58.29', '62.02', '62.03', '62.09', '62.01']",True
16,1492,36319145,50000,70000,1838,ventra,between3And6,"[18.81, 18.142, 18.431, 25.381, 29.552]",48,POINT (347150.3475088049 6649356.263925704),60000,True,7709307193,70.22,"['18.12', '41.20', '43.21', '43.22', '43.29', '43.31', '43.32', '43.32.1', '43.32.2', '43.32.3', '43.33', '43.34', '43.34.1', '43.34.2', '43.39', '43.91', '43.99', '43.99.1', '43.99.2', '43.99.3', '43.99.4', '43.99.5', '43.99.6', '43.99.7', '43.99.9', '46.51.2', '47.41.2', '53.20.3', '62.01', '62.09', '63.11', '63.11.1', '64.19', '64.99', '69.10', '69.20', '71.20', '72.20', '73.11', '73.20.1', '74.30', '77.40', '78.10', '82.19', '82.92', '82.99', '85.42.9', '95.11', '70.22']",True
17,1581,36340397,41125,64042,3127,мегафон,noExperience,"[1.203, 1.295, 1.82, 1.27, 1.273, 1.89]",48,POINT (347306.87182273716 6649034.3738677995),52583,True,7812014560,61.10,"['46.51.2', '46.90', '61.20', '62.01', '62.02', '62.03', '62.09', '63.11', '63.11.1', '63.99.1', '69.10', '69.20', '70.22', '71.12.5', '71.12.51', '71.12.53', '71.12.54', '71.12.55', '72.19', '74.90.5', '61.10']",True
18,1670,36369411,38267,55391,1299115,цкб «айсберг»,noExperience,"[18.568, 18.81, 18.373]",48,POINT (347111.5646121296 6646729.733867309),46829,True,7801041996,,,False
19,1918,36438977,100000,150000,824009,220 вольт,between1And3,"[1.221, 1.1, 1.9]",96,POINT (347311.76796744857 6647646.29823463),125000,True,0264054954,46.69.5,"['22.2', '25.1', '25.29', '25.50', '25.61', '25.62', '25.93.1', '25.94', '25.99.29', '27.12', '27.32', '27.40', '33.14', '33.20', '43.21', '46.15.3', '46.18', '46.43', '46.69.9', '46.9', '47.25.2', '47.42', '47.59.9', '61.1', '95.22.1', '46.69.5']",True
25,2759,36709347,50325,147900,4456185,шесть сезонов,noExperience,"[1.221, 1.9, 1.1, 1.82]",96,POINT (347158.6142555112 6648645.035627475),99112,True,7801671733,56.10,"['10.11', '10.12', '10.13', '10.13.9', '10.20', '10.31', '10.32', '10.39', '10.39.9', '10.41', '10.42', '10.51', '10.52', '10.61', '10.62', '10.71', '10.72', '10.73', '10.82', '10.83', '10.84', '10.85', '10.86', '10.89', '10.89.7', '10.89.9', '47.11', '47.81', '47.91', '47.91.2', '47.99', '47.99.1', '52.10', '53.20.32', '53.20.39', '56.10.21', '56.29.1', '68.20', '68.32.2', '70.22', '71.12.66', '73.20.2', '74.10', '77.39', '77.39.29', '81.10', '82.11', '82.30', '82.92', '90.04.2', '93.29', '93.29.3', '56.10']",True
27,2858,36742139,42500,75625,2183546,неотрейд,noExperience,"[17.572, 18.81, 18.451, 17.625]",119,POINT (346552.478012578 6646800.169720602),59062,True,7720865755,70.22,"['46.11', '46.12', '46.13', '46.14', '46.16', '46.17', '46.18', '46.52', '46.61', '46.63', '46.69', '46.71', '46.72', '46.75', '46.90', '64.99', '64.99.1', '64.99.3', '66.30.9', '68.10', '68.10.23', '68.20', '73.20', '82.99', '70.22']",False
30,3449,36905198,100000,150000,824009,220 вольт,between1And3,"[1.221, 1.1, 1.9]",96,POINT (347311.76796744857 6647646.29823463),125000,True,0264054954,46.69.5,"['22.2', '25.1', '25.29', '25.50', '25.61', '25.62', '25.93.1', '25.94', '25.99.29', '27.12', '27.32', '27.40', '33.14', '33.20', '43.21', '46.15.3', '46.18', '46.43', '46.69.9', '46.9', '47.25.2', '47.42', '47.59.9', '61.1', '95.22.1', '46.69.5']",True
32,3792,36988101,37400,46320,1363143,институт авиационного приборостроения навигатор,noExperience,"[18.13, 18.245]",48,POINT (344957.22487106884 6646892.815923921),41860,True,7801004507,72.19,"['26.30.17', '26.40', '26.51.2', '46.43.2', '46.43.3', '46.51', '46.69.2', '46.69.5', '46.69.9', '47.41', '47.42', '47.43', '47.54', '70.22', '73.11', '73.20.1', '82.99', '95.21', '95.22.1', '72.19']",True
36,4094,37060729,39175,61258,3127,мегафон,noExperience,"[1.172, 1.295, 1.82, 1.277, 1.27, 15.93]",46,POINT (347354.22918669216 6647688.249740892),50217,True,7812014560,61.10,"['46.51.2', '46.90', '61.20', '62.01', '62.02', '62.03', '62.09', '63.11', '63.11.1', '63.99.1', '69.10', '69.20', '70.22', '71.12.5', '71.12.51', '71.12.53', '71.12.54', '71.12.55', '72.19', '74.90.5', '61.10']",True
37,4267,37110340,20000,45850,3440785,нордфил,noExperience,"[15.75, 15.237, 17.751, 22.757, 22.175, 29.541]",130,POINT (346813.78476300347 6647902.60381215),32925,True,7801319507,28.29.13,"['17.21', '17.22', '17.29', '22.21', '22.29', '25.61', '25.62', '25.99', '28.25.14', '28.29', '33.12', '33.20', '35.12', '35.14', '35.30', '36.00', '37.00', '45.20', '45.31', '45.32', '46.69', '46.90', '52.10', '68.20', '68.32', '77.33', '77.39', '81.10', '81.21', '28.29.13']",False
